"movie_name";"daily_gross";"gross_to_date";"gross_per_theater";"date"
"Batman";308773;235019740;237;1989-08-31
"Ghostbusters II";84709;109344448;140;1989-08-31
"Parenthood";1314800;81120983;950;1989-09-30
"Batman";419361;245665714;536;1989-09-30
"Ghostbusters II";115613;111355067;298;1989-09-30
"Batman";72001;248987508;104;1989-10-31
"Parenthood";52380;90670465;60;1989-10-31
"Back to the Future Part II";1081700;47893200;580;1989-11-30
"Parenthood";24750;94485660;45;1989-11-30
"Batman";5429;251130554;29;1989-11-30
"Back to the Future Part II";1675065;93592195;795;1989-12-31
"Parenthood";40650;95527843;150;1989-12-31
"Back to the Future Part II";100940;110177361;70;1990-01-31
"Back to the Future Part II";34090;115013301;70;1990-02-28
"Back to the Future Part III";1251780;27761250;620;1990-05-31
"Total Recall";2470860;89754110;1260;1990-06-30
"Back to the Future Part III";1190420;68034400;770;1990-06-30
"Total Recall";201240;111290940;215;1990-07-31
"Back to the Future Part III";166750;80263805;250;1990-07-31
"Total Recall";101990;116208296;235;1990-08-31
"Kindergarten Cop";2392890;29494805;1245;1990-12-31
"Kindergarten Cop";256635;68611210;135;1991-01-31
"Kindergarten Cop";75140;79774735;85;1991-02-28
"Kindergarten Cop";193280;85009983;320;1991-03-31
"Kindergarten Cop";20200;87922163;50;1991-04-30
"Kindergarten Cop";51475;89374894;145;1991-05-31
"Kindergarten Cop";19950;90845286;105;1991-06-30
"Terminator 2: Judgment Day";1210275;137964404;495;1991-07-31
"Terminator 2: Judgment Day";1754086;180597896;929;1991-08-31
"Terminator 2: Judgment Day";103648;195675682;79;1991-09-30
"Terminator 2: Judgment Day";47734;199885025;58;1991-10-31
"Hook";3636750;64261845;1625;1991-12-31
"Hook";706860;104735704;385;1992-01-31
"Hook";298385;114311508;415;1992-02-29
"Basic Instinct";1283250;36896210;725;1992-03-31
"Basic Instinct";335880;79562504;180;1992-04-30
"Basic Instinct";632460;101378802;415;1992-05-31
"Batman Returns";3392033;103406382;1283;1992-06-30
"Basic Instinct";132165;108885103;165;1992-06-30
"Batman Returns";520279;152504572;370;1992-07-31
"Unforgiven";490071;55620134;236;1992-08-31
"Batman Returns";95086;158176032;101;1992-08-31
"Unforgiven";116274;72477582;93;1992-09-30
"Batman Returns";35351;161631404;64;1992-09-30
"Unforgiven";31302;74371297;130;1992-10-31
"Unforgiven";6971;74903622;49;1992-11-30
"A Few Good Men";3372293;63128837;1597;1992-12-31
"Trespass";367920;6908725;360;1992-12-31
"Scent of a Woman";97962;842840;4898;1992-12-31
"Scent of a Woman";669820;28727044;535;1993-01-31
"A Few Good Men";493855;114560737;240;1993-01-31
"Trespass";29280;12534375;160;1993-01-31
"Unforgiven";8627;75234105;784;1993-01-31
"Groundhog Day";1944786;36368890;1116;1993-02-28
"Scent of a Woman";642720;45017039;515;1993-02-28
"A Few Good Men";441271;129462655;345;1993-02-28
"Unforgiven";387321;78837133;505;1993-02-28
"Groundhog Day";201384;58188009;117;1993-03-31
"Unforgiven";178807;83281758;369;1993-03-31
"Scent of a Woman";164120;53022519;220;1993-03-31
"A Few Good Men";48081;134496884;80;1993-03-31
"A Few Good Men";218277;137443057;255;1993-04-30
"Unforgiven";216114;93022700;238;1993-04-30
"Scent of a Woman";141215;59252744;305;1993-04-30
"Groundhog Day";138169;65168648;242;1993-04-30
"Cliffhanger";4281055;20458022;1835;1993-05-31
"Unforgiven";289245;97172343;303;1993-05-31
"Groundhog Day";197185;68504696;289;1993-05-31
"Scent of a Woman";55800;62080334;200;1993-05-31
"A Few Good Men";47039;140340096;231;1993-05-31
"Jurassic Park";3751560;182988575;1530;1993-06-30
"Last Action Hero";802174;32838939;348;1993-06-30
"Cliffhanger";443904;67081370;204;1993-06-30
"Unforgiven";33035;100683923;93;1993-06-30
"Scent of a Woman";2975;62630714;35;1993-06-30
"In the Line of Fire";3450248;65478870;1621;1993-07-31
"Jurassic Park";2868940;281049500;1340;1993-07-31
"Cliffhanger";357380;78015766;535;1993-07-31
"Last Action Hero";42720;47678530;155;1993-07-31
"Scent of a Woman";14250;62993894;190;1993-07-31
"Jurassic Park";428220;311878320;305;1993-08-31
"In the Line of Fire";284310;94220489;193;1993-08-31
"Last Action Hero";32048;49618631;84;1993-08-31
"Jurassic Park";102405;324670815;100;1993-09-30
"In the Line of Fire";31768;102065825;44;1993-09-30
"Jurassic Park";131600;329398445;280;1993-10-31
"Jurassic Park";116405;333543880;155;1993-11-30
"Batman: Mask of the Phantasm";469816;3454525;312;1993-12-31
"Schindler's List";449895;4987839;5920;1993-12-31
"Jurassic Park";228900;338929640;350;1993-12-31
"Schindler's List";282447;23799938;798;1994-01-31
"Jurassic Park";31570;342461155;70;1994-01-31
"Batman: Mask of the Phantasm";11440;5452276;24;1994-01-31
"Schindler's List";240915;46143938;300;1994-02-28
"Reality Bites";223250;10798675;190;1994-02-28
"Jurassic Park";17290;344304220;70;1994-02-28
"Schindler's List";633880;70903843;460;1994-03-31
"Reality Bites";56635;18577080;235;1994-03-31
"Jurassic Park";21920;345395395;160;1994-03-31
"Schindler's List";703755;87449958;585;1994-04-30
"Reality Bites";76760;20007165;380;1994-04-30
"The Flintstones";2510490;39693235;1005;1994-05-31
"Schindler's List";59250;92911478;125;1994-05-31
"The Flintstones";735325;108028370;335;1994-06-30
"Schindler's List";85680;94826228;140;1994-06-30
"The Flintstones";178215;122508155;360;1994-07-31
"Jurassic Park";74385;353323615;145;1994-08-31
"The Flintstones";45675;128389875;75;1994-08-31
"Jurassic Park";103230;355884135;310;1994-09-30
"The Flintstones";43215;130129090;135;1994-09-30
"Little Women (1994)";2001126;15999996;1271;1994-12-31
"Street Fighter";1510320;17662440;870;1994-12-31
"Street Fighter";51795;30369330;70;1995-01-31
"Street Fighter";22935;32536665;55;1995-02-28
"Bad Boys";1148299;50216792;539;1995-04-30
"Casper";1044890;24344595;385;1995-05-31
"Johnny Mnemonic";451793;8510118;223;1995-05-31
"Bad Boys";26225;60514183;43;1995-05-31
"Apollo 13";7458815;7458815;3395;1995-06-30
"Batman Forever";4523290;124591876;1564;1995-06-30
"Casper";752870;79187350;395;1995-06-30
"Bad Boys";219436;61513518;369;1995-06-30
"Apollo 13";1088565;128092080;465;1995-07-31
"Batman Forever";243374;175182542;169;1995-07-31
"Casper";50085;90583905;135;1995-07-31
"Bad Boys";30302;64906955;119;1995-07-31
"Apollo 13";250195;158974290;180;1995-08-31
"Batman Forever";117208;179995528;120;1995-08-31
"Casper";117025;97805070;155;1995-08-31
"Apollo 13";290875;167204230;505;1995-09-30
"Batman Forever";81482;183137859;306;1995-09-30
"Apollo 13";41325;170689045;75;1995-10-31
"Batman Forever";8738;183877950;123;1995-10-31
"Toy Story";1366100;44509964;556;1995-11-30
"Apollo 13";6150;172060755;50;1995-11-30
"Toy Story";4089216;146198683;1589;1995-12-31
"Toy Story";115158;177745653;82;1996-01-31
"City Hall";271619;14982656;150;1996-02-29
"Toy Story";28734;183489944;46;1996-02-29
"Mission: Impossible";6651662;92177008;2208;1996-05-31
"The Nutty Professor (1996)";8079300;25411725;3820;1996-06-30
"The Rock";3343508;98298361;1388;1996-06-30
"The Cable Guy";1550797;50451572;599;1996-06-30
"Mission: Impossible";1475364;164266086;667;1996-06-30
"Independence Day";1900462;228992170;638;1996-07-31
"The Rock";186641;125297353;194;1996-07-31
"Independence Day";1733783;279179861;790;1996-08-31
"Independence Day";152600;293769650;84;1996-09-30
"Maximum Risk";108656;12886305;52;1996-09-30
"Independence Day";115176;301277435;102;1996-10-31
"Independence Day";116919;305824658;305;1996-11-30
"Jerry Maguire";2879210;65675817;1138;1996-12-31
"Evita";62238;460087;31119;1996-12-31
"Independence Day";1114;306156090;48;1996-12-31
"Jerry Maguire";1447644;112853082;676;1997-01-31
"Evita";1120804;33496426;1080;1997-01-31
"Absolute Power";1521848;32657188;593;1997-02-28
"Fools Rush In";1100643;18917850;647;1997-02-28
"Jerry Maguire";688514;133213823;509;1997-02-28
"Evita";196146;46908749;268;1997-02-28
"Liar Liar";3348750;74303110;1175;1997-03-31
"Jerry Maguire";140255;145583546;169;1997-03-31
"Absolute Power";35182;48299075;75;1997-03-31
"Liar Liar";394660;145193135;140;1997-04-30
"Jerry Maguire";33800;149830057;58;1997-04-30
"The Lost World: Jurassic Park";14801820;131681924;4510;1997-05-31
"The Fifth Element";1720691;50303188;688;1997-05-31
"Liar Liar";739215;166282285;560;1997-05-31
"Absolute Power";114851;49487057;287;1997-05-31
"Batman and Robin";2264801;77472849;770;1997-06-30
"Con Air";829271;79379196;323;1997-06-30
"The Lost World: Jurassic Park";753430;213976859;295;1997-06-30
"Liar Liar";255725;173184940;265;1997-06-30
"The Fifth Element";62175;60714432;94;1997-06-30
"Air Force One";3862824;55007211;1323;1997-07-31
"Men in Black";1437215;200111208;452;1997-07-31
"Con Air";97505;95336337;112;1997-07-31
"Batman and Robin";75819;104882310;70;1997-07-31
"Liar Liar";70470;178577025;144;1997-07-31
"The Lost World: Jurassic Park";57015;223627114;120;1997-07-31
"The Fifth Element";49050;62012050;73;1997-07-31
"Air Force One";2307440;152404523;887;1997-08-31
"Men in Black";915385;234281015;586;1997-08-31
"The Lost World: Jurassic Park";123250;227788079;250;1997-08-31
"Batman and Robin";116068;106627398;171;1997-08-31
"Liar Liar";67095;180501885;355;1997-08-31
"The Peacemaker";1021270;14235761;432;1997-09-30
"Air Force One";92740;168071477;60;1997-09-30
"Men in Black";52119;242218193;48;1997-09-30
"The Lost World: Jurassic Park";7665;228907919;35;1997-09-30
"Liar Liar";7195;181213585;50;1997-09-30
"The Devil's Advocate";1530906;31444605;637;1997-10-31
"The Peacemaker";161157;38950077;144;1997-10-31
"Air Force One";129446;170114958;128;1997-10-31
"Men in Black";129446;244521142;128;1997-10-31
"Starship Troopers";546437;51005214;228;1997-11-30
"The Devil's Advocate";252019;56067822;296;1997-11-30
"The Peacemaker";53847;40918888;326;1997-11-30
"Titanic";8213735;112594173;3030;1997-12-31
"As Good as It Gets";3380886;24394469;2151;1997-12-31
"Mouse Hunt";2590747;28584968;1171;1997-12-31
"Amistad";954936;20636332;1315;1997-12-31
"Air Force One";37791;171880017;65;1997-12-31
"The Devil's Advocate";6505;58994812;14;1997-12-31
"The Peacemaker";445;41183406;49;1997-12-31
"Titanic";11963977;300809839;4193;1998-01-31
"As Good as It Gets";3208109;83918237;1804;1998-01-31
"Mouse Hunt";739224;56100611;548;1998-01-31
"Amistad";666841;39108873;734;1998-01-31
"The Devil's Advocate";89226;60667653;293;1998-01-31
"Titanic";9374965;421465040;3089;1998-02-28
"As Good as It Gets";1986927;111807200;1085;1998-02-28
"The Replacement Killers";270307;18215307;426;1998-02-28
"Amistad";112159;42937205;280;1998-02-28
"Mouse Hunt";83720;59345615;221;1998-02-28
"Titanic";1018514;517059359;315;1998-03-31
"Primary Colors";560880;23218475;285;1998-03-31
"As Good as It Gets";352259;132401997;225;1998-03-31
"Mouse Hunt";48763;60412797;68;1998-03-31
"Amistad";11545;44128554;36;1998-03-31
"Titanic";278090;561724643;95;1998-04-30
"Paulie";175718;11464681;100;1998-04-30
"As Good as It Gets";77747;143878601;74;1998-04-30
"Primary Colors";54095;36596677;60;1998-04-30
"Mouse Hunt";5779;61715428;14;1998-04-30
"Amistad";168;44225889;56;1998-04-30
"Godzilla";5540116;99326687;1674;1998-05-31
"Deep Impact";2574310;112003863;785;1998-05-31
"Titanic";491567;579419474;315;1998-05-31
"Paulie";194345;22931896;207;1998-05-31
"As Good as It Gets";74228;147023263;202;1998-05-31
"Primary Colors";42935;38494807;155;1998-05-31
"Mouse Hunt";3915;61880309;131;1998-05-31
"The X-Files";1664398;58132982;628;1998-06-30
"Godzilla";282435;132897414;152;1998-06-30
"Deep Impact";204566;136179715;127;1998-06-30
"Titanic";156844;587354184;228;1998-06-30
"Paulie";97224;25232808;130;1998-06-30
"Mouse Hunt";216;61916377;54;1998-06-30
"Saving Private Ryan";6959249;56719609;2740;1998-07-31
"Small Soldiers";783687;44149268;461;1998-07-31
"Titanic";331484;594629951;431;1998-07-31
"The X-Files";123350;80911450;264;1998-07-31
"Deep Impact";10499;138321140;102;1998-07-31
"Paulie";10030;26723203;36;1998-07-31
"Saving Private Ryan";722449;156011847;260;1998-08-31
"How Stella Got Her Groove Back";280986;28265901;203;1998-08-31
"Small Soldiers";30146;52668486;56;1998-08-31
"Titanic";27008;600401200;54;1998-08-31
"The X-Files";20737;83140760;64;1998-08-31
"Deep Impact";4919;139987467;53;1998-08-31
"Paulie";494;26873230;45;1998-08-31
"Saving Private Ryan";230648;182487117;105;1998-09-30
"How Stella Got Her Groove Back";41322;36203788;55;1998-09-30
"Small Soldiers";4558;53904699;18;1998-09-30
"Titanic";288;600682801;11;1998-09-30
"Antz";1388487;65865750;474;1998-10-31
"Saving Private Ryan";228211;189490492;323;1998-10-31
"How Stella Got Her Groove Back";33152;37387675;176;1998-10-31
"Small Soldiers";15034;54527442;37;1998-10-31
"A Bug's Life";1524407;47635863;568;1998-11-30
"Antz";52614;85747698;41;1998-11-30
"Patch Adams";6142680;46444325;2265;1998-12-31
"You've Got Mail";4855000;63762374;1762;1998-12-31
"Stepmom";3591220;35435611;1523;1998-12-31
"The Prince of Egypt";3383019;55106631;1051;1998-12-31
"A Bug's Life";2908240;127589564;1184;1998-12-31
"Antz";132879;88668349;156;1998-12-31
"Patch Adams";1021505;116507970;355;1999-01-31
"Stepmom";811866;83619126;344;1999-01-31
"The Prince of Egypt";719045;90829789;374;1999-01-31
"A Bug's Life";538572;154152003;357;1999-01-31
"In Dreams";264321;10337697;164;1999-01-31
"Antz";42015;90484950;122;1999-01-31
"8MM";3800165;14252888;1603;1999-02-28
"Saving Private Ryan";481129;205564906;477;1999-02-28
"Patch Adams";213670;130674665;230;1999-02-28
"The Prince of Egypt";201843;97067401;278;1999-02-28
"Stepmom";39002;90261196;97;1999-02-28
"The Matrix";4803310;4803310;1776;1999-03-31
"Saving Private Ryan";94308;211987443;144;1999-03-31
"The Prince of Egypt";55712;99015062;80;1999-03-31
"Patch Adams";52985;133408430;100;1999-03-31
"The Matrix";2438362;123437511;840;1999-04-30
"Saving Private Ryan";80664;215218158;154;1999-04-30
"The Prince of Egypt";41123;100890170;121;1999-04-30
"Patch Adams";25025;134742195;175;1999-04-30
"Star Wars: Episode I - The Phantom Menace";15504435;207099058;5129;1999-05-31
"Notting Hill";5878580;27689760;2140;1999-05-31
"The Mummy";2902725;117235705;855;1999-05-31
"The Thirteenth Floor";956036;4278452;527;1999-05-31
"The Matrix";930531;154764576;443;1999-05-31
"The Love Letter";345497;5111905;442;1999-05-31
"Patch Adams";6745;135014968;95;1999-05-31
"Wild Wild West";7074603;7074603;2138;1999-06-30
"South Park - Bigger, Longer and Uncut";4853426;4853426;2281;1999-06-30
"Star Wars: Episode I - The Phantom Menace";1739756;357760813;557;1999-06-30
"Notting Hill";740880;91965785;290;1999-06-30
"The Mummy";166460;146811535;145;1999-06-30
"The Matrix";98504;166059512;86;1999-06-30
"The Love Letter";14856;8009044;55;1999-06-30
"Runaway Bride";13100000;25100000;4148;1999-07-31
"The Haunting";5839235;59590554;2039;1999-07-31
"Inspector Gadget";5605000;43354721;1948;1999-07-31
"American Pie";2557800;74991440;1050;1999-07-31
"Star Wars: Episode I - The Phantom Menace";1420309;407507745;872;1999-07-31
"Wild Wild West";1067662;108126640;496;1999-07-31
"Lake Placid";1020000;25657309;568;1999-07-31
"Notting Hill";375240;111453145;530;1999-07-31
"The Matrix";249288;168726480;363;1999-07-31
"The Mummy";206725;152954025;340;1999-07-31
"The Sixth Sense";2180440;143097886;789;1999-08-31
"The 13th Warrior";1065162;12348528;462;1999-08-31
"Runaway Bride";703426;125744126;228;1999-08-31
"Mickey Blue Eyes";632802;20888275;246;1999-08-31
"Bowfinger";614795;47606560;225;1999-08-31
"The Thomas Crown Affair";535975;50759828;256;1999-08-31
"The Muse";333664;4604782;264;1999-08-31
"Inspector Gadget";235334;88024832;138;1999-08-31
"American Pie";205850;97057570;230;1999-08-31
"Star Wars: Episode I - The Phantom Menace";120465;419647257;242;1999-08-31
"Mystery Men";117960;27099820;120;1999-08-31
"The Haunting";68409;88263119;77;1999-08-31
"Notting Hill";39100;114774095;100;1999-08-31
"The Mummy";14340;154991745;60;1999-08-31
"The Matrix";13241;171078487;65;1999-08-31
"Wild Wild West";3459;111731971;20;1999-08-31
"Double Jeopardy";1644276;30213284;646;1999-09-30
"American Beauty";694386;10206918;1619;1999-09-30
"The Sixth Sense";614776;227522683;220;1999-09-30
"Stigmata";311819;41939762;109;1999-09-30
"Stir of Echoes";193344;16458229;102;1999-09-30
"Runaway Bride";101330;146976987;54;1999-09-30
"The Thomas Crown Affair";97790;66363479;70;1999-09-30
"The 13th Warrior";67129;31214694;59;1999-09-30
"Star Wars: Episode I - The Phantom Menace";65057;424663188;85;1999-09-30
"Bowfinger";58505;64565420;45;1999-09-30
"Mickey Blue Eyes";27232;32996533;33;1999-09-30
"American Pie";21905;101190115;45;1999-09-30
"Mystery Men";11795;29529570;35;1999-09-30
"Notting Hill";9990;115924195;45;1999-09-30
"Wild Wild West";8187;113654109;23;1999-09-30
"The Haunting";6620;89763760;33;1999-09-30
"House on Haunted Hill";4401000;15946032;1624;1999-10-31
"The Best Man";1618000;17937760;1200;1999-10-31
"Double Jeopardy";1090000;98301710;365;1999-10-31
"Music of the Heart";910000;3653281;675;1999-10-31
"Fight Club";9e+05;27659756;463;1999-10-31
"American Beauty";885000;54106032;579;1999-10-31
"Bringing Out the Dead";864000;11434115;444;1999-10-31
"The Sixth Sense";709000;259835832;346;1999-10-31
"The Story of Us";663000;22256765;305;1999-10-31
"Bats";581000;7926751;229;1999-10-31
"Three Kings";580000;53729398;313;1999-10-31
"Three to Tango";478000;7689192;214;1999-10-31
"The Omega Code";412000;6411725;1129;1999-10-31
"Superstar";364000;23508841;181;1999-10-31
"Random Hearts";346000;29504936;189;1999-10-31
"Blue Streak";231000;64655842;211;1999-10-31
"Being John Malkovich";192000;637721;7680;1999-10-31
"Star Wars: Episode I - The Phantom Menace";55826;427607869;169;1999-10-31
"Bowfinger";23940;65766880;105;1999-10-31
"The Haunting";18568;91307903;67;1999-10-31
"Toy Story 2";2204032;85197080;681;1999-11-30
"Sleepy Hollow";981386;63526051;320;1999-11-30
"Pokemon: The First Movie";176734;78123623;58;1999-11-30
"Anywhere But Here";143481;14873072;85;1999-11-30
"The Messenger: The Story of Joan of Arc";120740;12927726;61;1999-11-30
"American Beauty";80793;66669827;138;1999-11-30
"The Sixth Sense";68921;272453101;68;1999-11-30
"House on Haunted Hill";45262;38731092;43;1999-11-30
"Double Jeopardy";43634;112416580;52;1999-11-30
"Fight Club";31445;35355140;134;1999-11-30
"Bowfinger";5310;66374730;45;1999-11-30
"Stuart Little";5052000;68432370;1742;1999-12-31
"Toy Story 2";3416336;199843054;1101;1999-12-31
"The Green Mile";2597000;67503123;903;1999-12-31
"Galaxy Quest";2312781;19918798;947;1999-12-31
"The Talented Mr. Ripley";2187000;29571126;947;1999-12-31
"Any Given Sunday";2102000;36195267;839;1999-12-31
"Bicentennial Man";2019000;33347111;730;1999-12-31
"Anna and the King";1172000;20542000;550;1999-12-31
"Man on the Moon";779625;19924925;375;1999-12-31
"Snow Falling on Cedars";7047;101292;2349;1999-12-31
"Next Friday";490050;40011619;367;2000-01-31
"The Green Mile";308020;115466532;130;2000-01-31
"Stuart Little";284700;123295392;94;2000-01-31
"Galaxy Quest";235876;59005410;107;2000-01-31
"Toy Story 2";179122;234480631;100;2000-01-31
"Magnolia";141809;17580003;131;2000-01-31
"Any Given Sunday";131590;72475176;65;2000-01-31
"Isn't She Great";116250;1484955;155;2000-01-31
"Snow Falling on Cedars";84985;11856688;85;2000-01-31
"Man on the Moon";31195;33827285;50;2000-01-31
"The Whole Nine Yards";743215;29820021;255;2000-02-29
"Reindeer Games";601973;9297878;273;2000-02-29
"Pitch Black";515487;23945581;267;2000-02-29
"Hanging Up";505090;26908883;193;2000-02-29
"American Beauty";397291;88239101;300;2000-02-29
"Wonder Boys";373603;6582742;298;2000-02-29
"The Tigger Movie";315407;31286032;112;2000-02-29
"Scream 3";305264;78691489;99;2000-02-29
"Snow Day";262436;43665644;97;2000-02-29
"The Green Mile";113407;131247262;65;2000-02-29
"Galaxy Quest";39377;69095502;48;2000-02-29
"Toy Story 2";27007;240686299;46;2000-02-29
"Snow Falling on Cedars";17940;14105933;60;2000-02-29
"Erin Brockovich";4202060;66214660;1445;2000-03-31
"The Skulls";4064220;4064220;1685;2000-03-31
"The Road to El Dorado";3522685;3522685;1095;2000-03-31
"Romeo Must Die";2817000;32283000;1067;2000-03-31
"High Fidelity";2162000;2162000;1828;2000-03-31
"American Beauty";1714000;112964896;861;2000-03-31
"Mission to Mars";994000;52128480;397;2000-03-31
"Here on Earth";870000;6586351;508;2000-03-31
"The Tigger Movie";82697;43503886;118;2000-03-31
"Toy Story 2";64104;242409803;190;2000-03-31
"Galaxy Quest";12612;70314667;148;2000-03-31
"The Flintstones in Viva Rock Vegas";2948795;10518435;970;2000-04-30
"U-571";2903760;38111145;1110;2000-04-30
"Love & Basketball";1230000;15442913;988;2000-04-30
"Rules of Engagement";1082000;50218007;357;2000-04-30
"Keeping the Faith";996000;25503160;459;2000-04-30
"28 Days";889000;28576947;352;2000-04-30
"Erin Brockovich";736910;112873260;295;2000-04-30
"The Road to El Dorado";594217;46447127;264;2000-04-30
"Return to Me";564000;25039855;281;2000-04-30
"High Fidelity";291000;22107509;361;2000-04-30
"The Skulls";259935;32526305;195;2000-04-30
"Romeo Must Die";227000;53670898;320;2000-04-30
"American Beauty";149000;128144856;188;2000-04-30
"Ready to Rumble";71000;11961782;116;2000-04-30
"Galaxy Quest";30229;71423726;115;2000-04-30
"Mission: Impossible II";3736420;100080777;1023;2000-05-31
"Gladiator";1160515;129437622;364;2000-05-31
"Shanghai Noon";1151784;22078731;425;2000-05-31
"Road Trip";1136231;37696165;432;2000-05-31
"U-571";204535;69361180;100;2000-05-31
"Small Time Crooks";196092;9295956;225;2000-05-31
"Erin Brockovich";74955;121684250;94;2000-05-31
"The Flintstones in Viva Rock Vegas";73985;30255475;50;2000-05-31
"Love & Basketball";61645;25567237;114;2000-05-31
"Keeping the Faith";37993;34975876;101;2000-05-31
"The Road to El Dorado";32542;50016489;54;2000-05-31
"Screwed";32025;6865750;40;2000-05-31
"The Skulls";12390;35032845;70;2000-05-31
"The Perfect Storm";13240000;13240000;3886;2000-06-30
"The Patriot";6860000;16183000;2241;2000-06-30
"Me, Myself and Irene";4010000;39871697;1299;2000-06-30
"The Adventures of Rocky & Bullwinkle";2115625;2115625;860;2000-06-30
"Big Momma's House";1701886;90956993;711;2000-06-30
"Gone in 60 Seconds";1541766;75129790;582;2000-06-30
"Mission: Impossible II";1365907;193540370;512;2000-06-30
"Gladiator";595622;167922050;422;2000-06-30
"Road Trip";235472;64766245;294;2000-06-30
"Small Time Crooks";57735;16033876;232;2000-06-30
"U-571";55605;75211680;165;2000-06-30
"The Flintstones in Viva Rock Vegas";55180;33531185;155;2000-06-30
