"movie_name";"max.gross_to_date"
"American Pie";101190115
"American Pie 2";144936475
"American Reunion";56758835
"American Satan";231731
"American Sniper";350040510
"American Splendor";1772289
"American Teen";852955
"American Ultra";14418087
"American Wedding";103848595
"Amistad";44225889
"An American Carol";6985279
"An American Haunting";15022000
"An Everlasting Piece";43500
"An Inconvenient Sequel: Truth to Power";3394951
"An Inconvenient Truth";23809619
"An Unfinished Life";6715000
"Anacondas: The Hunt for the Blood Orchid";31037173
"Analyze That";31874015
"Anchorman 2 (R-Rated Extended Cut)";420409
"Anchorman 2: The Legend Continues";124200504
"Anchorman: The Legend of Ron Burgundy";77213823
"And Now Ladies and Gentlemen";729053
"And So It Goes";15159195
"Angel Eyes";19826694
"Angels & Demons";133244751
"Anger Management";132650265
"Anna and the King";20542000
"Anna Karenina";12816367
"Annabelle";84146551
"Annabelle: Creation";102087516
"Annapolis";8640554
"Annie (2014)";85677612
"Anomalisa";2598812
"Anonymous";4316466
"Another Earth";1138998
"Ant-Man";178328341
"Anthropoid";2814598
"Antoine and Antoinette (2013 re-issue)";6127
"Antwone Fisher";21065560
"Antz";90484950
"Any Given Sunday";72475176
"Anything Else";2903517
"Anywhere But Here";14873072
"Apocalypto";50280685
"Apollo 13";172060755
"Apollo 18";17610743
"Appaloosa";20072553
"Apres Vous";822445
"April and the Extraordinary World";292212
"Aqua Teen Hunger Force Colon Movie Film for Theaters";5299000
"Aquamarine";18519004
"Arbitrage";7909613
"Arctic Tale";810269
"Are We Done Yet?";49602613
"Are We There Yet?";81815187
"Argo";135730135
"Armored";15498240
"Around the Bend";160570
"Around the World in 80 Days";19729638
"Arrival";100378172
"Arthur (2011)";32957457
"Arthur and the Invisibles";15123851
"Arthur Christmas";45650370
"As Above/So Below";21071635
"As Good as It Gets";147023263
"Ask the Dust";733032
"Assassin's Creed";54629158
"Assassination Tango";971034
"Assault on Precinct 13";15100000
"Assaulted: Civil Rights Under Fire";6781
"Astro Boy";19377871
"Asylum";373803
"At Middleton";11780
"ATL";20957855
"Atlas Shrugged: Part I";3813154
"Atlas Shrugged: Part II";3239424
"Atomic Blonde";49481380
"Atonement";50893664
"Attack of the Clones: The IMAX Experience (IMAX)";8485488
"Attack on Titan: Part 1";259768
"Attack the Block";737369
"August Rush";31249403
"August: Osage County";37736670
"Austin Powers in Goldmember";199842665
"Australia";49476893
"Avatar";749744182
"Avatar: Special Edition";10652294
"Avengers: Age of Ultron";452963254
"Awake";14371880
"Away from Her";4431899
"Away We Go";9087220
"Baaghi";169160
"Baahubali 2: The Conclusion";10430497
"Babel";33906116
"Babies";7227549
"Baby Driver";107636600
"Baby Mama";59673890
"Babylon A.D.";22199239
"Bachna Ae Haseeno";679775
"Back to the Future";200851705
"Back to the Future Part II";115013301
"Back to the Future Part III";80263805
"Bad Boys";64906955
"Bad Boys II";134610107
"Bad Moms";112185633
"Bad News Bears";32495706
"Bad Santa";52850195
"Bad Santa 2";17710126
"Bad Teacher";100013349
"Bad Words";7696296
"Baggage Claim";21528621
"Bajrangi Bhaijaan";6494000
"Ballerina (2017) [Canada Only]";308594
"Ballistic: Ecks vs. Sever";14155129
"Balls of Fury";32805772
"Band of Outsiders (2016 re-issue)";29567
"Bandslam";4942769
"Bangkok Dangerous";15111439
"Barbershop";51857650
"Barbershop 2: Back in Business";63867129
"Barbershop: The Next Cut";53918020
"Barfi!";2462008
"Barnyard: The Original Party Animals";72618800
"Basic";12360434
"Basic Instinct";108885103
"Basic Instinct 2";1136273
"Batkid Begins";71080
"Batman";251130554
"Batman and Robin";106627398
"Batman Begins";205005268
"Batman Forever";183877950
"Batman Returns";161631404
"Batman v Superman: Dawn of Justice";329527569
"Batman: Mask of the Phantasm";5452276
"Bats";7926751
"Battle for Haditha";9902
"Battle for Terra";1620625
"Battle of the Sexes";12598957
"Battle of the Year";7600676
"Battle: Los Angeles";82779393
"Battleship";65203260
"Baywatch";57096394
"Be Cool";53452875
"Be Kind, Rewind";11173649
"Beach Rats";432113
"Bears";12266020
"Beastly";27708035
"Beasts of the Southern Wild";12617231
"Beatriz At Dinner";7115203
"Beautiful Boy";66490
"Beautiful Creatures";50651
"Beautiful Creatures (2013)";19398345
"Beauty and the Beast (2017)";503805890
"Beauty and the Beast (3D)";41744223
"Beauty Shop";35213392
"Because I Said So";42627250
"Because of Gracia";88738
"Because of Winn-Dixie";32610494
"Becoming Jane";14038000
"Bedtime Stories";108437161
"Bee Movie";126274206
"Bee Season";1148085
"Beer for My Horses";665331
"Beerfest";19181799
"Beetle Queen Conquers Tokyo";19588
"Before I Fall";12020624
"Before I Go To Sleep";571469
"Before Sunset";5676325
"Before the Devil Knows You're Dead";3946000
"Before the Rains";1017553
"Before We Go";37125
"Before You Know It";1332
"Begin Again";16137423
"Beginners";5723938
"Behind Enemy Lines";58855732
"Being Flynn";468428
"Being John Malkovich";637721
"Believe";4881936
"Believe (2016)";888932
"Bella";8070315
"Belle";10614444
"Ben-Hur (2016)";26347781
"Bend It Like Beckham";32457024
"Beowulf";82195215
"Bernie";9138117
"Beta Test";8966
"Better Luck Tomorrow";3758637
"Between Love & Goodbye";5741
"Beverly Hills Chihuahua";79952557
"Bewitched";60717928
"Beyond a Reasonable Doubt";32833
"Beyond Borders";3052245
"Beyond the Lights";14617568
"Beyond the Mask";1233020
"Beyond the Reach";45895
"Beyond the Sea";5622768
"Bicentennial Man";33347111
"Big Eyes";14441280
"Big Fat Liar";47603740
"Big Fish";65815103
"Big Game";21094
"Big Hero 6";204576654
"Big Miracle";20088480
"Big Momma's House";117148155
"Big Momma's House 2";70013586
"Big Mommas: Like Father, Like Son";37801883
"Big Sonia";113604
"Big Stone Gap";980233
"Big Sur";34706
"Bigger Than the Sky";20471
"Biker Boyz";21906626
"Billy Lynn's Long Halftime Walk";1671908
"Birdman";42281187
"Birth";1705577
"Birth of the Dragon";3657820
"Bitter Harvest";556523
"Biutiful";5099758
"Black Christmas (2006)";16222585
"Black Hawk Down";102373375
"Black Knight";33422806
"Black Mass";62566444
"Black Nativity";7004330
"Black or White";21554234
"Black Sea";431163
"Black Snake Moan";9386927
"Black Swan";106669327
"Blackhat";7808965
"Blade II";54921131
"Blade Runner 2049";91654512
"Blade Runner: The Final Cut";1446439
"Blade: Trinity";45688000
"Blades of Glory";117825745
"Blair Witch";18043614
"Bleed for This";4485431
"Blended";45739518
"Bless Me Ultima";1544655
"Blood and Chocolate";3504027
"Blood Diamond";57296143
"Blood Ties (2014)";41459
"Blood Work";25998550
"Bloody Sunday";757121
"Blow";51871793
"Blue Crush";40127345
"Blue Jay";21618
"Blue Like Jazz";594736
"Blue Ruin";249452
"Blue Streak";64655842
"Blue Valentine";9648910
"Boat Trip";6888131
"Bobby";11199246
"Bobby Jones: Stroke of Genius";394005
"Body of Lies";39203583
"Bodyguard";192622
"Bolt";105380479
"Boo! A Madea Halloween";72855112
"Boogeyman";44812917
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan";128460972
"Born in China";13853650
"Born to be Blue";111946
"Born to Be Wild (IMAX)";22896869
"Bottle Shock";3949492
"Bourek";2192
"Bowfinger";66374730
"Bowling for Columbine";21053476
"Box Elder";24906
"Boy A";21584
"Boy and the World";119188
"Boyhood";5043380
"BPM (Beats Per Minute)";79522
"Brad's Status";1659852
"Bran Nue Dae";104774
"BRATZ";10008734
"Brave";230651013
"Breach";32738285
"Break Ke Baad";335174
"Breakin' All the Rules";10984460
"Breaking and Entering";906255
"Breath Made Visible";50108
"Breathe (2017)";483420
"Breathless (2010 re-issue)";347296
"Brick Mansions";20367888
"Bride Wars";58707170
"Brideshead Revisited";5905793
"Bridesmaids";168145330
"Bridge of Spies";67646959
"Bridge to Terabithia";80128749
"Bridget Jones's Baby";24099480
"Bridget Jones's Diary";63343982
"Bridget Jones: The Edge of Reason";39778585
"Bright Star";4422074
"Brighton Rock (re-issue)";36378
"Bring It On";68337590
"Bringing Down the House";126392339
"Bringing Out the Dead";11434115
"Brokeback Mountain";75857000
"Broken Bridges";251142
"Broken City";19692608
"Brooklyn";38116430
"Brooklyn's Finest";27020324
"Brother Bear";82580265
"Brotherhood (2011)";18163
"Brotherhood of the Wolf";10926473
"Brotherly Love";325213
"Brothers";26222779
"Brown Sugar";27273283
"Bruce Almighty";242228190
"Bruno";58488380
"Buen Dia, Ramon";36235
"Bug";4871655
"Bullet to the Head";9413471
"Bulletproof Monk";19854679
"Bully (2012)";76169
"Bully (PG-13)";3087774
"Buried";970101
"Burlesque";37403047
"Burn After Reading";60169788
"Burnt";13645010
"Busco Novio Para Mi Mujer";1509866
"By the Sea";487704
"C.O.G.";50029
"Ca$h";24603
"Cadillac Records";7844196
"Cafe Society";11043906
"Caged No More";108414
"Cake";1555023
"Calendar Girls";30035277
"Call + Response";149538
"Call of the Wild 3D";28682
"Calvary";3547247
"Camp (2013)";298480
"Cantinflas";6280970
"Capitalism: A Love Story";14315274
"Captain America: Civil War";407857896
"Captain America: The First Avenger";176559140
"Captain America: The Winter Soldier";255019094
"Captain Corelli's Mandolin";25261240
"Captain Fantastic";5735114
"Captain Phillips";107001998
"Captain Underpants: The First Epic Movie";73874635
"Captive (2015)";2452803
"Caramel";1055580
"Carol";12711491
"Carrie (2013)";28572888
"Carrie Pilby";5050
"Cars";240894281
"Cars 2";182118690
"Cars 3";152895516
"Carter High";233136
"Casa De Mi Padre";5814102
"Casanova";11068994
"Case 39";13036803
"Casino Royale";165465178
"Casper";97805070
"Cassandra's Dream";773727
"Cast Away";100628594
"Catch a Fire";2337000
"Catch and Release";8928240
"Catch Me If You Can";164513216
"Catch That Kid";16590199
"Catfish";3235858
"Cats & Dogs: The Revenge of Kitty Galore";43312667
"Catwoman";40046778
"Cedar Rapids";6797218
"Cellular";26143434
"Central Intelligence";127426401
"Cesar Chavez";5499793
"Champion";146983
"Chandni Chowk to China";908035
"Changeling";35598217
"Changing Lanes";45723642
"Chappie";30387408
"Charged";13484
"Charlie's Angels";122693797
"Charlie's Angels: Full Throttle";100163675
"Charlie and the Chocolate Factory";206443153
"Charlie Bartlett";3950861
"Charlie St. Cloud";30784840
"Charlie Wilson's War";66585460
"Charlotte's Web (2006)";81753341
"Chasing Liberty";12189514
"Chasing Mavericks";5944870
"Chasing Papi";5200763
"Cheaper by the Dozen";138474007
"Cheaper by the Dozen 2";82368258
"Chef";30303257
"Chennai Express";5306988
"Cheri";2477744
"Chernobyl Diaries";18009321
"Chi-Raq";2570882
"Chicago";163895278
"Chicago 10";165607
"Chicken Little";131744998
"Chico & Rita";307396
"Child 44";1170068
"Children of Men";34980653
"Chimpanzee";19318183
"CHiPs";18360013
"Chocolate City";169129
"Choke";2894819
"Christine (2016)";297480
"Christmas with the Kranks";72095903
"Chronicle (2012)";64568512
"Cinderella (2015)";191293370
"Cinderella Man";61646206
"Circumstance";430040
"Cirque du Freak: The Vampire's Assistant";9777225
"Cirque Du Soleil: Worlds Away";12415369
"Citizenfour";2799318
"City by the Sea";22299172
"City Hall";14982656
"City Island";6670852
"City of Ember";7743762
"City of Ghosts";244101
"City of God";
"Civil Brand";99296
"Clash of the Titans (2010)";162773680
"Clerks II";23974067
"Click";132709326
"Cliffhanger";78015766
"Clifford's Really Big Movie";2093025
"Clockstoppers";10108333
"Closed Circuit";2164614
"Closer";33481868
"Cloud Atlas";26785673
"Cloudy with a Chance of Meatballs";123910697
"Cloudy with a Chance of Meatballs 2";119578810
"Cloverfield";79961399
"Clown";55007
"Club Dread";3035688
"Coach Carter";67247722
"Coco";179834199
"Code 46";204466
"Coffee and Cigarettes";1742008
"Cold Creek Manor";15260568
"Cold Mountain";92685850
"Collateral";98638556
"Collateral Beauty";30889343
"Collateral Damage";40056170
"College";4680208
"College Road Trip";38544543
"Collide";1821688
"Colombiana";35550977
"Colossal";3025788
"Come Back to Me";7744
"Compadres";2142098
"Con Air";95336337
"Conan the Barbarian (2011)";21233765
"Concussion (2015)";34099541
"Confessions of a Dangerous Mind";9410828
"Confessions of a Shopaholic";32670233
"Confessions of a Teenage Drama Queen";28579920
"Confetti";205225
"Confidence";5641588
"Connie and Carla";8054280
"Constantine";74645338
"Contagion";75483857
"Contempt (2013 re-release)";32757
"Contempt (re-issue)";117556
"Contraband";66223620
"Control";872252
"Conviction";6585354
"Cool It";58179
"Cop Out";44689987
"Copperhead";162952
"Copying Beethoven";351036
"Coraline";75282972
"Coriolanus";757195
"Cosmopolis";761632
"Country Strong";18891038
"Couples Retreat";109176215
"Courageous";33975486
"Cowboy Bebop";623647
"Cowboys & Aliens";100222396
"Coyote County Loser";19394
"Cradle 2 the Grave";34520404
"Crank";27380124
"Crank: High Voltage";12805205
"Crash";54508027
"Crazy Heart";39281066
"Crazy, Stupid, Love.";83919919
"Creed";109725586
"Criminal";777918
"Criminal (2016)";13117513
"Crimson Peak";26990090
"Crips and Bloods: Made in America";69907
"Crocodile Dundee in Los Angeles";14149389
"Crooked Arrows";1801333
"Crossing Over";410304
"Crossroads";27143645
"Crouching Tiger, Hidden Dragon";123972354
"Cry Wolf";8312000
"CSNY: Deja Vu";50906
"Curious George";58336565
"Cursed";10103000
"Cyrus";7442641
"Daddy's Home";150188490
"Daddy's Home 2";101791381
"Daddy Day Camp";13031827
"Daddy Day Care";103029198
"Dallas Buyers Club";27297995
"Dan in Real Life";46919347
"Dance Flick";25174410
"Dangal";12338678
"Danny Collins";5625762
"Daredevil";102526374
"Darfur Now";93397
"Dark Blue";5767930
"Dark Shadows";79434897
"Dark Skies";17348947
"Dark Star: H.R. Giger's World";52494
"Darkest Hour";18132857
"Darkness";12872000
"Darkness Falls";31211506
"Date Movie";48435069
"Date Night";98521610
"Dawn of the Dead";58885635
"Dawn of the Planet of the Apes";208392407
"Day Watch";381649
"Daybreakers";29423555
"Days of Glory";290055
"De-Lovely";13200093
"Dead Man Down";10764613
"Dead Silence";15134060
"Deadpool";362952685
"Deal";48072
"Dear John";72432096
"Dear White People";4370703
"Dear Zindagi";1614941
"Death at a Funeral (2007)";8579585
"Death at a Funeral (2010)";41945596
"Death Race";35711725
"Death Sentence";9373071
"Death to Smoochy";8322134
"December Boys";46474
"Deception (2008)";2951498
"Deck the Halls";35090111
"Dedication";87449
"Deep Impact";139987467
"Deep Sea 3D (IMAX)";37487997
"Deepwater Horizon";61159350
"Defiance";28644813
"Definitely, Maybe";31810000
"Deja Vu";61574479
"Delhi 6";772225
"Delhi Belly";1524386
"Deli Man";406149
"Deliver Us from Eva";15384394
"Deliver Us from Evil (2006)";201275
"Delivery Man";29704884
"Delta Farce";7517778
"Demon";103275
"Denial";4026513
"Derailed";35956803
"Desert Dancer";129439
"Desierto";1629800
"Despicable Me";251083040
"Despicable Me 2";367793270
"Despicable Me 3";264414440
"Detention of the Dead";1332
"Detroit";16783352
"Deuce Bigalow: European Gigolo";22212359
"Devil";33099560
"Devil's Due";15751848
"Dhobi Ghat (Mumbai Diaries)";525506
"Dhoom 3";7194748
"Diary of a Country Priest (2011 re-release)";10418
"Diary of a Wimpy Kid";63733347
"Diary of a Wimpy Kid: Dog Days";48945255
"Diary of a Wimpy Kid: Rodrick Rules";52659578
"Diary of a Wimpy Kid: The Long Haul";20710572
"Dickie Roberts: Former Child Star";22560417
"Did You Hear About the Morgans?";20380046
"Die Another Day";159051342
"Dilwale";4394522
"Dina";61130
"Dinner for Schmucks";72644474
"Dirty Dancing: Havana Nights";5811325
"Dirty Girl";51489
"Dirty Grandpa";35151844
"Dirty Pretty Things";4337684
"Disaster Movie";13986349
"Disney's The Kid";66048889
"District 9";115618728
"Disturbia";80077886
"Divergent";150578586
"Divine Secrets of the Ya-Ya Sisterhood";69546382
"Django (2012 re-release)";13443
"Django Unchained";162792971
"Do You Believe?";12966845
"DOA: Dead or Alive";479912
"Doctor Strange";232539797
"DodgeBall: A True Underdog Story";114192700
"Dolphin Tale";71922716
"Dolphin Tale 2";41964407
"Dom Hemingway";462305
"Dominion: Prequel to the Exorcist";240849
"Don't Be Afraid of the Dark";23979219
"Don't Breathe";89086017
"Don't Think I've Forgotten: Cambodia's Lost Rock and Roll";130133
"Don 2";3680219
"Don Jon";24469383
"Donald Cried";60953
"Doogal";7402600
"Doom";28044650
"Doomsday";10649365
"Dope";16762781
"Double Dhamaal";391545
"Double Jeopardy";112416580
"Doubt";33355581
"Down with Love";20094130
"Downsizing";17160674
"Dr. Seuss' Horton Hears a Who!";154423552
"Dr. Seuss' The Lorax";213171865
"Dracula Untold";50705870
"Draft Day";28676510
"Drag Me to Hell";41992920
"Dragon Wars";10213483
"Dragonball Evolution";8810619
"Dragonfly";29913980
"Dream House";20872420
"Dreamcatcher";33360884
"Dreamer: Inspired by a True Story";32605604
"Dreamgirls";103056719
"Dreams Rewired";10878
"Dredd";13411161
"Drillbit Taylor";32680185
"Drive (2011)";35040898
"Drive Angry";10575494
"Driven";31418148
"Drumline";56274064
"Duck Season";146694
"Due Date";98935039
"Dum Maaro Dum";563276
"Duma";860172
"Dumb and Dumber To";86102925
"Dunkirk";187862185
"Duplex";5173128
"Duplicity";40019995
"Dylan Dog: Dead of Night";556160
"DysFunKtional Family";2232895
"E.T. (20th Anniversary)";34780645
"E.T.: The Extra-Terrestrial";351633331
"Eagle Eye";101198986
"Earth (2009)";17664049
"Earth to Echo";38763121
"Eastern Promises";17164380
"Easy A";56300305
"Easy Money (2012)";185338
"Eat Pray Love";80574010
"Echelon Conspiracy";376000
"Eddie the Eagle";15722788
"Eden Lake";1489
"Edge of Darkness";43238893
"Edge of Tomorrow";100099411
"Eight Below";78491196
"Eight Crazy Nights";12293239
"Eight Legged Freaks";17166947
"Ek Main Aur Ekk Tu";1137825
"El Cantante";7556004
"El Clan";90767
"El Jeremias";560073
"El Sicario, Room 164";6067
"El Vacilon: The Movie";584176
"El Velador (The Night Watchman)";1426
"Elektra";24409722
"Elephant";144345
"Elevator to the Gallows (2016 re-issue)";101459
"Elf";167547300
"Elizabeth: The Golden Age";14572365
"Elizabethtown";26687348
"Ella Enchanted";18403000
"Elsa & Fred (2014)";285506
"Elvis & Nixon";834869
"Elysium";91897993
"Embrace: The Documentary";393950
"Emily (2017)";3642
"Emperor";3338960
"Empire";15413065
"Employee of the Month";28444855
"Enchanted";125058257
"End of the Spear";8272000
"End of Watch";40766734
"Ender's Game";61283464
"Endless Love (2014)";21233795
"Enduring Love";355587
"Enlighten Up!";94602
"Enough";22413113
"Enough Said";17464587
"Enron: The Smartest Guys in the Room";415000
"Entourage";32347896
"Envy";2109188
"Epic";107412522
"Epic Movie";39654915
"Eragon";75017516
"Erin Brockovich";125453480
"Ernest & Celestine";261325
"Eros";180529
"Escape Fire";57448
"Escape From Planet Earth";56852484
"Escape Plan";24977645
"Escobar: Paradise Lost";133077
"Eternal Sunshine of the Spotless Mind";33473509
"Eurotrip";17742425
"Evan Almighty";100289690
"Evelyn";1359055
"Even Money";41493
"Evening";2498000
"Everest (2015)";42238255
"Every Day";34723
"Everybody Loves Somebody";1714168
"Everybody Wants Some!!";2895020
"Everybody Wants to Be Italian";345169
"Everyone's Hero";14516662
"Everything Is Illuminated";1710538
"Everything Must Go";2709398
"Everything, Everything";33689943
"Evil Dead (2013)";54128109
"Evita";46908749
"Evolution";37664704
"Ex Machina";8635000
"Exodus: Gods and Kings";64700433
"Exorcist: The Beginning";41784746
"Expedition to the End of the World";37693
"Expelled: No Intelligence Allowed";5776720
"Extract";10707897
"Extraordinary Measures";10445568
"Extreme Ops";4775724
"Extremely Loud & Incredibly Close";31272135
"Eye in the Sky";18644548
"Facing the Giants";921000
"Factory Girl";1473869
"Fade to Black";690509
"Fahrenheit 9/11";108415000
"Failure to Launch";88085023
"Fair Game (2010)";9414152
"Faith of Our Fathers";979617
"Fame (2009)";22432880
"Fanaa";983000
"Fanboys";626129
"Fantastic Beasts and Where To Find Them";233526847
"Fantastic Four";55947545
"Fantastic Four (2005)";154550176
"Fantastic Four: Rise of the Silver Surfer";131879346
"Fantastic Mr. Fox";20817229
"Far from the Madding Crowd";11664776
"Fascination";10323
"Fast & Furious 6";238623810
"Fast and Furious";155044825
"Fast Five";209688235
"Fast Food Nation";984140
"Faster";23176293
"Fat Albert";48109482
"Father Figures";12885287
"fear dot com";13221308
"Feast of Love";3494420
"Fed Up";1529940
"Femme Fatale";6532102
"Fences";56696313
"Ferdinand";53546717
"Fever Pitch";41939022
"Fifty Shades Darker";105189385
"Fifty Shades of Black";11425102
"Fifty Shades of Grey";166104010
"Fight Club";35355140
"Fighting";22881910
"Filly Brown";2378938
"Final Destination 2";46769759
"Final Destination 3";45757000
"Final Destination 5";42465873
"Final Fantasy: The Spirits Within";30767867
"Final: The Rapture";121108
"Finding Dory";486282553
"Finding Nemo";331921877
"Finding Nemo (3D)";36444806
"Finding Neverland";36157000
"Fired Up";9331909
"Firehouse Dog";13430202
"Fireproof";32306871
"Firewall";48636880
"First Daughter";8898897
"First Snow";214864
"First Sunday";35115406
"Fist Fight";31933264
"Flags of Our Fathers";33384553
"Flatliners (2017)";16743915
"Flicka";20888606
"Flight";93528560
"Flight of the Phoenix";20991376
"Flightplan";88184491
"Flipped";1723623
"Florence Foster Jenkins";27083574
"Flushed Away";64479805
"Fly Me to the Moon";12136109
"Flyboys";13006502
"Focus (2015)";53811491
"Fool's Gold";69670827
"Fools Rush In";18917850
"Footloose (2011)";51614979
"For a Good Time, Call... ";1205045
"For Colored Girls";37669204
"For Greater Glory";5622627
"For Your Consideration";5414596
"Forbidden Games (1952)";6901
"Forgetting Sarah Marshall";62746340
"Formula 51";5041854
"Four Brothers";74173843
"Four Christmases";120059040
"Fracture";37552286
"Frank Miller's Sin City: A Dame to Kill For";13730715
"Frankenweenie";32397345
"Frankie & Alice (2014)";695192
"Freaky Friday";106915128
"Fred Claus";71904474
"Freddy Got Fingered";11512689
"Freddy Vs. Jason";72395735
"Free Birds";55660935
"Free Fire";1662013
"Free State of Jones";11065711
"Freedom Writers";36371477
"Freedomland";11229437
"Freeheld";496656
"Freetown";399276
"Friday After Next";23660613
"Friday Night Lights";60636780
"Friday the 13th (2009)";64790203
"Friend Request";3759078
"Friends with Benefits";38175973
